tipoValor,claveCotizacion,serie,isin,fiduciario,estado,fechaListado,nombreComercial,numeroTitulosAutorizados,montoAutorizado
1B,ANGELD,10,MX1BAN040008,ACTIN,Activo,04/07/2018,Smartshares - ANGELD,"2,000,000,000","50,000,000,000.00"
1B,CHNTRAC,11,MX1BCH080000,FACTIN,Activo,04/07/2018,CHNTRAC,"2,500,000,000","50,000,000,000.00"
1B,DIABLOI,10,MX1BDI0I0005,ACTIN,Activo,04/07/2018,Smartshares - DIABLOI,"2,000,000,000","50,000,000,000.00"
1C,DLRTRAC,15,MX1BDL030008,FINTCAM,Activo,03/08/2021,Índice BMV MXP-USD,"3,333,333,334","50,000,000,000.00"
1B,ESGMEX,ISHRS,MX1BES040009,BCM,Activo,29/07/2020,ESGMEX-TRAC,"1,666,666,667","100,000,000,000.00"
1B,FIBRATC,14,MX1BFI1E0003,FACTIN,Activo,04/07/2018,Índice BMV Fibras,"2,500,000,000","50,000,000,000.00"
1B,GENIUS,21,MX1BGE0L0002,FINTCAM,Activo,11/03/2021,GENIUS,"1,000,000,000","50,000,000,000.00"
1B,IVVPESO,ISHRS,MX1BIV080006,BCM,Activo,04/07/2018,iShares S&P 500 Peso Hedged TRAC,"3,639,010,189","100,000,000,000.00"
1B,MEXTRAC,09,MX1BME0F0008,FACTIN,Activo,04/07/2018,Índice BMV Rentable,"4,000,000,000","50,000,000,000.00"
1B,NAFTRAC,ISHRS,MX1BNA060014,FNAFIN,Activo,04/07/2018,NAFTRAC,"7,500,000,000","103,582,232,654.80"
1C,PSOTRAC,15,MX1BPS020008,FINTCAM,Activo,03/08/2021,Índice BMV USD-MXP,"7,496,251,875","50,000,000,000.00"
1B,QVGMEX,18,MX1BQV000004,ACTIN,Activo,04/07/2018,QVGMEX,"2,500,000,000","50,000,000,000.00"
1B,SMARTRC,14,MX1BSM020001,ACTIN,Activo,04/07/2018,Índice Bursa Óptimo,"5,777,007,510","100,000,000,000.00"
1B,VMEX,19,MX1BVM010007,BCM,Activo,26/09/2019,VANGUARD FTSE BIVA MEXICO EQUITY ETF (VMEX),"5,000,000,000","150,000,000,000.00"
